name,type,star_rating,review_sum,address,contact,url,create_time
운선제한복 종로점,한복,정보 없음,정보 없음,서울 종로구 종로 199,02-742-2097,https://pcmap.place.naver.com/place/20136228/home?entry=bmp&from=map&fromPanelNum=2&x=126.9999386&y=37.571152&timestamp=202309071811,2023-09-07 18:11:23
알라모다 종로점,남성정장,정보 없음,정보 없음,"서울 종로구 종로 121-1 2, 3층",02-766-4285,https://pcmap.place.naver.com/place/36342751/home?entry=bmp&from=map&fromPanelNum=2&x=126.9910141&y=37.5706494&timestamp=202309071811,2023-09-07 18:11:23
여성빅사이즈 지존 두타,여성의류,4.44,263,서울 중구 장충단로 275 두타 3층 14호,02-3398-6014,https://pcmap.place.naver.com/place/35830762/home?entry=bmp&from=map&fromPanelNum=2&x=127.00861362000003&y=37.56898874&timestamp=202309071812,2023-09-07 18:11:23
반니비스포크 명동점,남성정장,4.87,277,서울 중구 삼일대로 363 장교빌딩 지하1층,02-774-8080,https://pcmap.place.naver.com/place/13486664/home?entry=bmp&from=map&fromPanelNum=2&x=126.9870117&y=37.5673094&timestamp=202309071812,2023-09-07 18:11:23
미숙이네,한복,정보 없음,20,서울 종로구 창경궁로12길 36 대한별 14호,02-2263-1335,https://pcmap.place.naver.com/place/1698579153/home?entry=bmp&from=map&fromPanelNum=2&x=127.0000522&y=37.5697364&timestamp=202309071812,2023-09-07 18:11:23
종로맞춤정장 에반테일러,남성정장,4.94,731,서울 종로구 종로 183 효성 주얼리타운 지하1층 J350 에반테일러,02-742-3701,https://pcmap.place.naver.com/place/966470951/home?entry=bmp&from=map&fromPanelNum=2&x=126.998319&y=37.5714479&timestamp=202309071812,2023-09-07 18:11:23
아티플로 맞춤정장예복 종로본점,남성정장,4.95,정보 없음,서울 종로구 종로 122 3~4층,0507-1324-2862,https://pcmap.place.naver.com/place/1311763017/home?entry=bmp&from=map&fromPanelNum=2&x=126.99113292487&y=37.5700586615098&timestamp=202309071812,2023-09-07 18:11:23
유니클로 광화문 D-TOWER점,캐주얼웨어,4.26,정보 없음,서울 종로구 종로3길 17 D타워 광화문 1~2층,02-2251-8202,https://pcmap.place.naver.com/place/37815201/home?entry=bmp&from=map&fromPanelNum=2&x=126.97887668725667&y=37.57074159109033&timestamp=202309071812,2023-09-07 18:11:23
에이스아웃도어,"등산,아웃도어",4.47,633,서울 종로구 종로 224-1 2층,02-2247-8848,https://pcmap.place.naver.com/place/11533341/home?entry=bmp&from=map&fromPanelNum=2&x=127.0026432&y=37.5707802&timestamp=202309071812,2023-09-07 18:11:23
슈프림,패션,4.43,102,서울 중구 장충단로 280 지하상가 4-73호,정보 없음,https://pcmap.place.naver.com/place/1122705877/home?entry=bmp&from=map&fromPanelNum=2&x=127.0096807&y=37.5691968&timestamp=202309071812,2023-09-07 18:11:23
Neared,구제의류,4.42,95,서울 종로구 돈화문로11다길 26 1층 Neared,0507-1343-6645,https://pcmap.place.naver.com/place/1065506926/home?entry=bmp&from=map&fromPanelNum=2&x=126.990552&y=37.573448&timestamp=202309071812,2023-09-07 18:11:23
비스포크라인 맞춤정장예복 종로본점,남성정장,4.57,1005,"서울 종로구 종로 183 효성주얼리시티 지하2층 S32, 33, 34호",0507-1440-4966,https://pcmap.place.naver.com/place/38018816/home?entry=bmp&from=map&fromPanelNum=2&x=126.9983924&y=37.5714459&timestamp=202309071812,2023-09-07 18:11:23
쌤소나이트 현대시티아울렛동대문점,"가방,핸드백",4.17,46,서울 중구 장충단로13길 20 현대시티아울렛 지하 1층,02-2283-2327,https://pcmap.place.naver.com/place/38219687/home?entry=bmp&from=map&fromPanelNum=2&x=127.0076665&y=37.5687346&timestamp=202309071812,2023-09-07 18:11:23
연인채,한복,4.56,334,서울 종로구 종로 183 효성주얼리시티 지하1층 326호,02-2274-7844,https://pcmap.place.naver.com/place/38500829/home?entry=bmp&from=map&fromPanelNum=2&x=126.99832&y=37.571447&timestamp=202309071812,2023-09-07 18:11:23
디올 롯데본점 여성,종합패션,4.57,1170,서울 중구 을지로 30 롯데백화점 1F,02-726-4224,https://pcmap.place.naver.com/place/36701053/home?entry=bmp&from=map&fromPanelNum=2&x=126.9816208&y=37.5654272&timestamp=202309071812,2023-09-07 18:11:23
송동수한복,한복,정보 없음,정보 없음,서울 종로구 종로 183 효성주얼리시티 지하 1층 J 371호,02-2265-8560,https://pcmap.place.naver.com/place/13526668/home?entry=bmp&from=map&fromPanelNum=2&x=126.99832&y=37.571447&timestamp=202309071812,2023-09-07 18:11:23
로우로우 광장시장점,"가방,핸드백",4.51,197,서울 종로구 창경궁로 88 광장시장 239호,02-2269-2891,https://pcmap.place.naver.com/place/36336607/home?entry=bmp&from=map&fromPanelNum=2&x=126.9989641&y=37.5703187&timestamp=202309071813,2023-09-07 18:11:23
슬로우스테디클럽 살롱 안국점,캐주얼웨어,4.64,315,서울 종로구 율곡로 84 가든타워 2층,02-725-1301,https://pcmap.place.naver.com/place/35896210/home?entry=bmp&from=map&fromPanelNum=2&x=126.9884625&y=37.5770962&timestamp=202309071813,2023-09-07 18:11:23
