name,type_code,type,star_rating,review_total,address_si,address_gu,address_lo,address_detail,area,contact,url,create_time,lat,lng,naver_place_id
살롱순라,A1,양식,4.52,0,서울,종로구,율곡로10길,75 살롱순라,jongno,0507-1414-0084,https://pcmap.place.naver.com/restaurant/1266673496/home?entry=bmp&n_ad_group_type=10&n_query=%EC%A2%85%EB%A1%9C%EC%8B%9D%EB%8B%B9&from=map&fromPanelNum=2&x=126.99169360025445&y=37.5741979997707&timestamp=202309071750,2023-09-07 17:49:45,126.9916905,37.5741694,1266673496
이태리양조장 종각역점,A1,"맥주,호프",정보 없음,226,서울,종로구,삼일대로17길,50 1층,jongno,0507-1303-2760,https://pcmap.place.naver.com/restaurant/1708196505/home?entry=bmp&n_ad_group_type=10&n_query=%EC%A2%85%EB%A1%9C%EC%8B%9D%EB%8B%B9&from=map&fromPanelNum=2&x=126.98479072417122&y=37.56925362142487&timestamp=202309071750,2023-09-07 17:49:45,126.9847814,37.5692838,1708196505
차알 광화문 디타워점,A1,중식당,4.4,0,서울,종로구,종로3길,17 D타워 리플레이스 광화문 3층,jongno,02-2251-8345,https://pcmap.place.naver.com/restaurant/37256672/home?entry=bmp&from=map&fromPanelNum=2&x=126.97891450000002&y=37.57099589999999&timestamp=202309071750,2023-09-07 17:49:45,126.9789694,37.5710184,37256672
익선디미방,A1,양식,4.46,0,서울,종로구,수표로28길,17-27 익선디미방,jongno,0507-1400-3418,https://pcmap.place.naver.com/restaurant/1021505576/home?entry=bmp&from=map&fromPanelNum=2&x=126.98947753400124&y=37.57354667960782&timestamp=202309071750,2023-09-07 17:49:45,126.9894729,37.5735311,1021505576
우래옥,A1,냉면,4.37,0,서울,중구,창경궁로,62-29,jongno,02-2265-0151,https://pcmap.place.naver.com/restaurant/11679381/home?entry=bmp&from=map&fromPanelNum=2&x=126.99870290000301&y=37.56826979999988&timestamp=202309071750,2023-09-07 17:49:45,126.9987320,37.5682193,11679381
익선잡방,A1,브런치,4.46,0,서울,종로구,수표로28길,17-21 익선잡방,jongno,0507-1313-3418,https://pcmap.place.naver.com/restaurant/1767890367/home?entry=bmp&from=map&fromPanelNum=2&x=126.98947221497131&y=37.57339806664397&timestamp=202309071750,2023-09-07 17:49:45,126.9894603,37.5733860,1767890367
광화문미진,A1,한식,4.38,0,서울,종로구,종로,19,jongno,02-730-6198,https://pcmap.place.naver.com/restaurant/11680222/home?entry=bmp&from=map&fromPanelNum=2&x=126.9798986&y=37.5705485&timestamp=202309071750,2023-09-07 17:49:45,126.9798606,37.5708345,11680222
살롱순라,A1,양식,4.52,0,서울,종로구,율곡로10길,75 살롱순라,jongno,0507-1414-0084,https://pcmap.place.naver.com/restaurant/1266673496/home?entry=bmp&from=map&fromPanelNum=2&x=126.99169360025445&y=37.5741979997707&timestamp=202309071750,2023-09-07 17:49:45,126.9916905,37.5741694,1266673496
새로오픈,A1,스케줄오스테리아,정보 없음,114,서울,중구,남대문로,125 DGB 금융센터 2층 202호,jongno,0507-1456-0300,https://pcmap.place.naver.com/restaurant/1082121714/home?entry=bmp&from=map&fromPanelNum=2&x=126.9823089&y=37.568377&timestamp=202309071750,2023-09-07 17:49:45,126.9823089,37.5683770,1082121714
새로오픈,A1,육랩 종로점,정보 없음,894,서울,종로구,우정국로2길,42 3층 육랩,jongno,02-722-3145,https://pcmap.place.naver.com/restaurant/1450644151/home?entry=bmp&from=map&fromPanelNum=2&x=126.9854065&y=37.5694552&timestamp=202309071750,2023-09-07 17:49:45,126.9854047,37.5694331,1450644151
